IBR-Agüimes;;;;;;;;;;;
FECHA;HORA;SO2;NO;NO2;PM10;;;;;;
11/01/2008;23;8;5;4;7;;;;;;
11/01/2008;24;6;5;4;5;;;;;;
12/01/2008;1;8;5;6;8;;;;;;
12/01/2008;2;7;5;5;7;;;;;;
12/01/2008;3;7;5;6;6;;;;;;
12/01/2008;4;7;5;4;5;;;;;;
12/01/2008;5;7;6;3;7;;;;;;
12/01/2008;6;7;6;6;6;;;;;;
12/01/2008;7;7;5;6;9;;;;;;
12/01/2008;8;6;5;5;8;;;;;;
12/01/2008;9;7;5;8;8;;;;;;
12/01/2008;10;8;6;8;8;;;;;;
12/01/2008;11;8;7;4;8;;;;;;
12/01/2008;12;8;7;4;6;;;;;;
12/01/2008;13;8;6;4;6;;;;;;
12/01/2008;14;9;8;5;6;;;;;;
12/01/2008;15;8;8;5;9;;;;;;
12/01/2008;16;8;7;7;7;;;;;;
12/01/2008;17;7;9;5;13;;;;;;
12/01/2008;18;7;8;5;10;;;;;;
12/01/2008;19;8;8;32;9;;;;;;
12/01/2008;20;14;9;40;8;;;;;;
12/01/2008;21;18;10;25;6;;;;;;
12/01/2008;22;17;10;18;5;;;;;;
12/01/2008;23;13;10;9;8;;;;;;
12/01/2008;24;9;9;6;8;;;;;;
13/01/2008;1;10;10;9;6;;;;;;
13/01/2008;2;10;12;4;5;;;;;;
13/01/2008;3;10;11;5;6;;;;;;
13/01/2008;4;8;10;5;8;;;;;;
13/01/2008;5;8;9;8;9;;;;;;
13/01/2008;6;7;8;12;10;;;;;;
13/01/2008;7;8;9;18;10;;;;;;
13/01/2008;8;7;9;15;10;;;;;;
13/01/2008;9;7;8;10;11;;;;;;
13/01/2008;10;9;8;15;17;;;;;;
13/01/2008;11;13;7;9;13;;;;;;
13/01/2008;12;13;8;6;17;;;;;;
13/01/2008;13;11;6;5;9;;;;;;
13/01/2008;14;10;9;6;9;;;;;;
13/01/2008;15;10;7;8;8;;;;;;
13/01/2008;16;10;5;6;8;;;;;;
13/01/2008;17;8;5;4;7;;;;;;
13/01/2008;18;7;6;3;8;;;;;;
13/01/2008;19;8;6;5;10;;;;;;
13/01/2008;20;6;5;11;9;;;;;;
13/01/2008;21;8;6;9;8;;;;;;
13/01/2008;22;8;7;7;5;;;;;;
13/01/2008;23;7;10;6;6;;;;;;
13/01/2008;24;7;11;4;5;;;;;;
14/01/2008;1;9;11;5;7;;;;;;
14/01/2008;2;10;14;5;7;;;;;;
14/01/2008;3;12;14;4;6;;;;;;
14/01/2008;4;10;14;4;10;;;;;;
14/01/2008;5;10;12;7;8;;;;;;
14/01/2008;6;8;11;12;10;;;;;;
14/01/2008;7;9;19;27;15;;;;;;
14/01/2008;8;9;30;47;17;;;;;;
14/01/2008;9;9;29;44;23;;;;;;
14/01/2008;10;8;13;7;12;;;;;;
14/01/2008;11;9;10;7;12;;;;;;
14/01/2008;12;12;14;19;19;;;;;;
14/01/2008;13;14;12;17;22;;;;;;
14/01/2008;14;11;12;18;15;;;;;;
14/01/2008;15;12;11;23;25;;;;;;
14/01/2008;16;10;13;22;14;;;;;;
14/01/2008;17;10;12;25;11;;;;;;
14/01/2008;18;10;10;25;9;;;;;;
14/01/2008;19;9;8;24;16;;;;;;
14/01/2008;20;9;8;23;16;;;;;;
14/01/2008;21;9;8;27;18;;;;;;
14/01/2008;22;7;6;14;19;;;;;;
14/01/2008;23;7;5;5;11;;;;;;
14/01/2008;24;6;3;7;7;;;;;;
15/01/2008;1;7;4;7;7;;;;;;
15/01/2008;2;7;4;6;7;;;;;;
15/01/2008;3;6;3;7;7;;;;;;
15/01/2008;4;6;3;4;6;;;;;;
15/01/2008;5;6;4;4;11;;;;;;
15/01/2008;6;6;5;7;5;;;;;;
15/01/2008;7;7;6;7;6;;;;;;
15/01/2008;8;8;8;10;6;;;;;;
15/01/2008;9;9;10;12;9;;;;;;
15/01/2008;10;8;8;9;21;;;;;;
15/01/2008;11;9;8;12;17;;;;;;
15/01/2008;12;9;6;14;9;;;;;;
15/01/2008;13;14;9;12;5;;;;;;
15/01/2008;14;21;12;12;15;;;;;;
15/01/2008;15;19;11;12;8;;;;;;
15/01/2008;16;15;9;9;16;;;;;;
15/01/2008;17;10;6;6;12;;;;;;
15/01/2008;18;9;7;6;7;;;;;;
15/01/2008;19;12;7;15;7;;;;;;
15/01/2008;20;13;8;10;8;;;;;;
15/01/2008;21;11;9;7;9;;;;;;
15/01/2008;22;10;9;10;10;;;;;;
15/01/2008;23;8;9;5;8;;;;;;
15/01/2008;24;8;8;5;8;;;;;;
16/01/2008;1;7;7;5;13;;;;;;
16/01/2008;2;7;6;5;10;;;;;;
16/01/2008;3;7;6;7;6;;;;;;
